DK_kode,DK_art,FAO_kode,GB_art,Latin
ABK,Flire,ABK,White Bream,Blicca bjoerkna
ABR,Aborre,FPE,European Perch,Perca fluviatilis
AHM,Alm. Hummer,LBE,European Lobster,Homarus gammarus
AND,Uspecificeret Art,MZZ,Unknown Species,Osteichthyes
ANF,Havtaskearter,ANF,Anglerfishes,Lophiidae
ANS,Ansjos,ANE,European Anchovy,Engraulis encrasicolus
ARG,Strømsildarter,ARY,Argentines,Argentina spp.
ARJ,Alm. Reje,CPR,Common Prawn,Palaemon serratus
ASJ,Alaskasej,ALK,Alaska Pollack,Theragra chalcogramma
BAR,Bars,BSS,Bass,Dicentrarchus labrax
BKO,Bækørred,TRS,Brown Trout,Salmo trutta fario
BLH,Blåhvilling,WHB,Blue Whiting,Micromsistius poutassou
BLJ,Blåhaj,BSH,Blue Shark,Prionace glauca
BLL,Blanke Ål,ELE,European  Eel,Anguilla anguilla
BLR,Blond rokke,RJH,Blond ray,Raja brachyuran
BMS,Blåmusling,MUS,Blue Mussel,Mytilus edulis
BMX,"Blåmusling, brutto",BMX,"Blue Mussel, gross",
BRA,Brasen,FBM,Freshwater Bream,Abramis brama
BRB,Alm. havrude,BRB,Black seabream,Spondyliosoma cantharus
BRD,Brødding,CHR,Char,Salvelinus spp.
BRM,Barramundi,GIP,Barramundi,Lates calcarifer
BRO,Brosme,USK,Tusk,Brosme brosme
BRS,Brisling,SPR,Sprat,Sprattus sprattus
BRU,Brugde Haj,BSK,Basking Shark,Cetorhinus maximus
BSP,Blæksprutte,CEP,Cephalopods,Cephalopoda
BYL,Byrkelange (Blålange),BLI,Blue Ling,Molva dypterygia
COE,Almindelig havål,COE,European conger,Conger conger
CAA,Alm. havkat,CAA,Atlantic wolffish,Anarhichas lupus
DVH,Jomfruhummer,NEP,Norway Lobster,Nephrops norvegieus
DVR,Dybvandsrejer,PRA,North Deepwater Prawn,Paudalus borealis
EBR,Ålekvabbe,ELP,Eelpout,Zoarces viviparus
FHK,Firtrådet Havkvabbe,VDR,Fourbeard Rockling,Rhinonemuscimbrius
FJE,Fjeldørred/Rødding,ACH,Arctic char,Salvelinus alpinus
FJS,Alm. fjæsing,WEG,Greater Weever,Trachimus draco
GBR,Guldbrasen,SBG,Gilt-head seabream,Chrysophrys aurata
GED,Gedde,FPI,Northern Pike,Esox lucius
GEN,Blåmusling genudlagt,MUS,"Blue mussel, relaid",
GFB,Skælbrosme,GFB,Greater forkbeard,Phycis blennoides
GHJ,Gråhaj,GAG,Tope shark,Galeorhinus galeus
GHV,Glashvarre,MEG,Megrim,Lepidorhombus whiffiagonis
GLL,Gule Ål,ELE,European Eel,Anguilla anguilla
GLO,Guldørred,ONA,Golden trout,Oncorhynchus aguabonita
GLY,Glyse,POD,Poor Cod,Trisoptenus minutus eapelanus
GUK,Guldlaks,ARU,Great Silver Smelt,Argentina silus
HAG,Havgalt,BOR,Boarfish,Caproidae
HAK,Havkattearter,CAT,Wolffishes (Catfishes),Anarhichas spp
HAM,Havmus,CMO,Rabbitfish,Chimaera monstrosa
HAT,Havtaske,MON,Anglerfish (Monk),Lophius piscatorius
HBR,Havbrasen (Blankesten),POA,Atlantic pomfret,Brama brama
HEL,Hellefisk,GHL,Greenland Halibut,Reinhardtius hippoglossoides
HLF,Helleflynder,HAL,Atlantic Halibut,Hippoglossus hippoglossus
HLT,Helt,PLN,Pollan,Coregorius lavaretus
HMK,Alm. hestemakrel,HOM,Atlantic Horsemackerel,Trachurus trachurus
HMS,Hjertemusling,COC,Common Cockle,Cerastoderma edule
HMX,"Hjertemusling, brutto",HMX,"Common Cockle, gross",
HOF,Hornfisk,GAR,Garfish,Belone belone
HOR,Hork,ACC,Ruffe,Gymnocephalus cernuus
HRJ,Hesterejer,CSH,Common Shrimp,Crangon crangon
HSG,Håising,PLA,Long-Rough Dab,Hippoglossoides platessoides
HST,Hundestejlearter,SKB,Sticklebacks,Gasterosteidae
HVL,Hvilling,WHG,Whiting,Merlaugius merlangus
INV,Hvirvelløse vanddyr,INV,Aquatic invertebrates,Invertebrata
ISG,Ising,DAB,Common  Dab,Limanda limanda
JAX,Hestemakrelarter,JAX,Jack and horse mackerels ne,Trachurus spp.
KBS,Krebs,AAS,Crayfish,Astacus astacus
KCS,Konge krabbe,KCS,King crabs,Paralithodes spp.
KIL,Kildeørred,SVF,Brook Trout,Salvelinus fontinalis
KLM,Kulmule,HKE,European Hake,Merluccius merluccius
KMS,Kammusling,SCX,Scallop,Pecten maximus
KNA,Atlantiske knurhanearter,SRA,Atlantic searobins,Prionotus spp
KND,Knude,FBU,Burbot,Lota lota
KNH,Grå knurhane,GUG,Grey Gurnard,Eutrigla gurnardus
KNK,Konksnegl,WHE,Whelk,Buccinum undatum
KNR,Rød Knurhane,GUU,Tub Gurnard,Chelidonichthys lucerna
KRA,Krabbe,CRA,Marine Crabs,Brachyura
KRI,Krill,KRI,Krill,Euphausia superba dana
KRP,Karpe,FCP,Common Carp,Cyprinus carpio
KRS,Karusse,FCC,Crucian Carp,Carassius carassius
KSO,Kulso,LUM,Lumpfish,Cyclopterus lumpus
KTL,Kutlingarter,GPA,Gobies,Gobiidae
KUL,Kuller,HAD,Haddock,Melanogrammus aeglefinus
KVB,Tangkvabbe,BLE,Shanny,Lipophrys pholis
LAC,Søørred,TRS,Lake trout,Salmo trutta lacustris
LEZ,Glashvarrearter,LEZ,Megrims nei,Lepidorhombus spp.
LKS,Laks,SAL,Atlantic Salmon,Salmo salon
LNG,Lange,LIN,Ling,Molva molva
LOD,Lodde,CAP,Capelin,Mallotus villosus
LSJ,Lyssej,POL,Pollack,Pollachius virens
LSS,Laksesild,MAV,Sheppy Argentine,Maurolicus muelleri
MAK,Makrel,MAC,Atlantic Mackerel,Scomber scombrus
MAL,Malle,SOM,Sheat-Fish,Silurus glanis
MLT,Multearter,MUL,Mullets,Mugilidae
